Expression,Type
what for,Idiom/Fixed expression
what for?,Idiom/Fixed expression
what gives,Idiom/Fixed expression
what gives?,Idiom/Fixed expression
what god has joined together let no man put asunder,Idiom/Fixed expression
what god has put together let no man put asunder,Idiom/Fixed expression
turn your life around,Idiom/Fixed expression
what goes round comes round,Idiom/Fixed expression
tumble down,Particle verb
what hath god wrought,Idiom/Fixed expression
what ho!,Idiom/Fixed expression
what if,Idiom/Fixed expression
what in tarnation,Idiom/Fixed expression
what in the name of heaven,Idiom/Fixed expression
what in the world,Idiom/Fixed expression
what is more,Idiom/Fixed expression
what is that,Idiom/Fixed expression
turn down,Particle verb
what it does,Idiom/Fixed expression
what it is,Idiom/Fixed expression
what it takes,Idiom/Fixed expression
what makes me worry,Idiom/Fixed expression
what makes someone tick,Idiom/Fixed expression
what nerve,Idiom/Fixed expression
what not,Idiom/Fixed expression
what of it,Idiom/Fixed expression
what part of no don't you understand?,Idiom/Fixed expression
what the,Idiom/Fixed expression
what the deuce,Idiom/Fixed expression
what the devil,Idiom/Fixed expression
what the dickens,Idiom/Fixed expression
what the eff,Idiom/Fixed expression
try over,Particle verb
what the hay,Idiom/Fixed expression
what the heck,Idiom/Fixed expression
what the hell,Idiom/Fixed expression
what the hey,Idiom/Fixed expression
what the sam hill,Idiom/Fixed expression
what time is it,Idiom/Fixed expression
what was I thinking of,Idiom/Fixed expression
what was someone smoking,Idiom/Fixed expression
what was that,Idiom/Fixed expression
together with,Idiom/Fixed expression
what would jesus do,Idiom/Fixed expression
cave in on,Particle verb
what you see is what you get,Idiom/Fixed expression
what's cooking,Idiom/Fixed expression
what's done is done,Idiom/Fixed expression
what's eating you,Idiom/Fixed expression
turned down,Particle verb
what's going on,Idiom/Fixed expression
what's good,Idiom/Fixed expression
what's in a name?,Idiom/Fixed expression
what's in it for me,Idiom/Fixed expression
what's it to you,Idiom/Fixed expression
what's more,Idiom/Fixed expression
what's new,Idiom/Fixed expression
what's not to like?,Idiom/Fixed expression
what's on your mind,Idiom/Fixed expression
what's sauce for the goose is sauce for the gander,Idiom/Fixed expression
what's that,Idiom/Fixed expression
what's the big idea,Idiom/Fixed expression
what's the crack,Idiom/Fixed expression
what's the difference,Idiom/Fixed expression
what's the good of,Idiom/Fixed expression
what's the matter,Idiom/Fixed expression
what's the poop,Idiom/Fixed expression
what's the time,Idiom/Fixed expression
what's the use,Idiom/Fixed expression
what's up,Idiom/Fixed expression
tone in with,Particle verb
"what's up, doc?",Idiom/Fixed expression
what's up?,Idiom/Fixed expression
what's what,Idiom/Fixed expression
touch it with a ten-foot pole,Idiom/Fixed expression
what's your beef,Idiom/Fixed expression
what's your point?,Idiom/Fixed expression
what's your poison,Idiom/Fixed expression
what's yours,Idiom/Fixed expression
whatever creams your twinkie,Idiom/Fixed expression
whatever floats your boat,Idiom/Fixed expression
whatever it takes,Idiom/Fixed expression
whatever may come,Idiom/Fixed expression
whatever you do,Idiom/Fixed expression
wheelie bin,Compound noun
wheeling and dealing,Idiom/Fixed expression
turn off,Particle verb
toy with the idea,Idiom/Fixed expression
when all else fails,Idiom/Fixed expression
when all is said and done,Idiom/Fixed expression
when first seen,Idiom/Fixed expression
tumble over,Particle verb
when in Rome,Idiom/Fixed expression
"When in Rome, do as the Romans do",Idiom/Fixed expression
when it comes to,Idiom/Fixed expression
when it comes to the crunch,Idiom/Fixed expression
when it rains it pours,Idiom/Fixed expression
when it's at home,Idiom/Fixed expression
when pigs fly,Idiom/Fixed expression
when push comes to shove,Idiom/Fixed expression
when the cat's away,Idiom/Fixed expression
when the cat's away the mice will play,Idiom/Fixed expression
walk down,Particle verb
when the crunch comes,Idiom/Fixed expression
when the devil drives,Idiom/Fixed expression
when the dust settles,Idiom/Fixed expression
when the going gets tough,Idiom/Fixed expression
"when the going gets tough, the tough get going",Idiom/Fixed expression
when the rubber hits the road,Idiom/Fixed expression
when up to one's neck in alligators,Idiom/Fixed expression
when worst comes to worst,Idiom/Fixed expression
"when you're right, you're right",Idiom/Fixed expression
"when, as, and if",Idiom/Fixed expression
turnaround time,Idiom/Fixed expression
where angels fear to tread,Idiom/Fixed expression
where are the toilets,Idiom/Fixed expression
where are we,Idiom/Fixed expression
where are you from,Idiom/Fixed expression
where can I find a hotel,Idiom/Fixed expression
twist off,Particle verb
where do you live,Idiom/Fixed expression
where does this bus go,Idiom/Fixed expression
where does this train go,Idiom/Fixed expression
where is the toilet,Idiom/Fixed expression
where it counts,Idiom/Fixed expression
where it's at,Idiom/Fixed expression
where the rubber hits the road,Idiom/Fixed expression
where the shoe pinches,Idiom/Fixed expression
where the sun doesn't shine,Idiom/Fixed expression
where the sun don't shine,Idiom/Fixed expression
where there is a will,Idiom/Fixed expression
where there's a will there's a way,Idiom/Fixed expression
where there's muck there's brass,Idiom/Fixed expression
"where there's smoke, there's fire",Idiom/Fixed expression
where's the beef,Idiom/Fixed expression
whet someone's appetite,Idiom/Fixed expression
whet your appetite,Idiom/Fixed expression
whether or not,Idiom/Fixed expression
which is which?,Idiom/Fixed expression
which witch is which?,Idiom/Fixed expression
whichever one,Idiom/Fixed expression
whichever way one slices it,Idiom/Fixed expression
whiffle ball,Compound noun
whig party,Idiom/Fixed expression
while away,Idiom/Fixed expression
while the going is good,Idiom/Fixed expression
while there's life there's hope,Idiom/Fixed expression
"while you live, tell truth and shame the devil!",Idiom/Fixed expression
twist someone around your little finger,Idiom/Fixed expression
whip hand,Idiom/Fixed expression
whip in,Particle verb
whip into,Particle verb
whip into shape,Idiom/Fixed expression
usher off,Particle verb
take-out,Particle verb
shout down,Particle verb
whip round,Particle verb
whip through,Idiom/Fixed expression
whip up,Particle verb
whip you,Idiom/Fixed expression
whip you into shape,Idiom/Fixed expression
whipper snapper,Idiom/Fixed expression
whips and jingles,Idiom/Fixed expression
whisk away,Particle verb
whisk by,Particle verb
veer off,Particle verb
whiskey neat,Compound noun
whiskey on the rocks,Idiom/Fixed expression
whisky cola,Compound noun
whisky on the rocks,Idiom/Fixed expression
whisky sour,Compound noun
whisper campaign,Idiom/Fixed expression
whispering campaign,Idiom/Fixed expression
whispering gallery,Idiom/Fixed expression
whist drive,Compound noun
whistle and flute,Idiom/Fixed expression
whistle at,Particle verb
wash down,Particle verb
whistle in the dark,Idiom/Fixed expression
whistle past the graveyard,Idiom/Fixed expression
whistle stop,Idiom/Fixed expression
whistle walk,Idiom/Fixed expression
whistle-blower,Idiom/Fixed expression
whistle-stop,Idiom/Fixed expression
whistle-stop tour,Idiom/Fixed expression
white as a ghost,Idiom/Fixed expression
white as snow,Idiom/Fixed expression
white elephant,Idiom/Fixed expression
white fairy lantern,Compound noun
white-collar,Idiom/Fixed expression
white-collar worker,Idiom/Fixed expression
white-knuckle,Idiom/Fixed expression
white-knuckle ride,Idiom/Fixed expression
whiter than white,Idiom/Fixed expression
whittle away,Idiom/Fixed expression
wave down,Particle verb
whiz kid,Idiom/Fixed expression
whiz through,Idiom/Fixed expression
whizz along,Particle verb
whizz kid,Idiom/Fixed expression
whizz through,Idiom/Fixed expression
whizzing stick,Compound noun
who am i kidding,Idiom/Fixed expression
who are you,Idiom/Fixed expression
who are you and what have you done,Idiom/Fixed expression
who ate all the pies,Idiom/Fixed expression
who cares,Idiom/Fixed expression
who died and left you in charge,Idiom/Fixed expression
who died and made you boss,Idiom/Fixed expression
who do you think you are,Idiom/Fixed expression
who gives a crap,Idiom/Fixed expression
who knows,Idiom/Fixed expression
who shot John,Idiom/Fixed expression
who would have,Idiom/Fixed expression
who would have guessed,Idiom/Fixed expression
who would have thought it,Idiom/Fixed expression
who writes this stuff,Idiom/Fixed expression
who'd have thunk it,Idiom/Fixed expression
"who's 'she', the cat's mother?",Idiom/Fixed expression
who's a pretty boy then,Idiom/Fixed expression
who's asking,Idiom/Fixed expression
who's calling,Idiom/Fixed expression
who's who,Idiom/Fixed expression
who's your daddy,Idiom/Fixed expression
whole 'nother,Idiom/Fixed expression
whole ball of wax,Idiom/Fixed expression
whole blood,Idiom/Fixed expression
whole body,Idiom/Fixed expression
whole caboodle,Idiom/Fixed expression
whole cloth,Idiom/Fixed expression
whole enchilada,Idiom/Fixed expression
whole family,Idiom/Fixed expression
whole food,Compound noun
whole foods,Compound noun
whole grain,Compound noun
whole heartedly,Compound noun
whole hog,Idiom/Fixed expression
whole idea,Idiom/Fixed expression
whole kit,Idiom/Fixed expression
whole kit and caboodle,Idiom/Fixed expression
whole life,Compound noun
whole life insurance,Compound noun
whole lot,Idiom/Fixed expression
whole meal,Compound noun
whole meal bread,Compound noun
whole meal flour,Compound noun
whole milk,Compound noun
whole name,Compound noun
whole new,Idiom/Fixed expression
whole new ball game,Idiom/Fixed expression
whole new lease on life,Idiom/Fixed expression
whole note,Compound noun
whole nother,Idiom/Fixed expression
whole number,Compound noun
whole rest,Compound noun
whole shebang,Idiom/Fixed expression
whole shooting match,Idiom/Fixed expression
whole step,Compound noun
whole thing,Idiom/Fixed expression
whole time,Idiom/Fixed expression
whole wheat flour,Compound noun
whole works,Idiom/Fixed expression
whole world,Compound noun
whom the gods love die young,Idiom/Fixed expression
whomp on,Particle verb
whomp up,Particle verb
whoop it up,Idiom/Fixed expression
whoop you,Idiom/Fixed expression
whoops-a-daisy,Idiom/Fixed expression
"whoops, there go my trousers",Idiom/Fixed expression
whopping great,Idiom/Fixed expression
whore blossom,Idiom/Fixed expression
whorl foot,Compound noun
whorled caraway,Compound noun
why buy a cow when you can get milk for free,Idiom/Fixed expression
wear down,Particle verb
why don't you pick on someone your own size,Idiom/Fixed expression
why in god's name,Idiom/Fixed expression
why in the hell,Idiom/Fixed expression
why in the name of,Idiom/Fixed expression
why in the world,Idiom/Fixed expression
why keep a dog and bark yourself?,Idiom/Fixed expression
why not,Idiom/Fixed expression
why on earth,Idiom/Fixed expression
whys and wherefores,Idiom/Fixed expression
wicked blow,Idiom/Fixed expression
wide brown land,Idiom/Fixed expression
wide eyed,Idiom/Fixed expression
wide eyes,Idiom/Fixed expression
wide of the mark,Idiom/Fixed expression
wide open,Idiom/Fixed expression
wield the axe,Idiom/Fixed expression
wife and kid,Idiom/Fixed expression
wiffle ball,Compound noun
talk out,Particle verb
wiggle nail,Compound noun
tap out,Particle verb
taste out,Particle verb
tear out,Particle verb
wild and woolly,Idiom/Fixed expression
wild goose chase,Idiom/Fixed expression
wild goose never laid a tame egg,Idiom/Fixed expression
wild-goose chase,Idiom/Fixed expression
wilds of,Idiom/Fixed expression
wile away,Idiom/Fixed expression
will do,Idiom/Fixed expression
will have to do,Idiom/Fixed expression
will never fly,Idiom/Fixed expression
will not,Idiom/Fixed expression
will o' the wisp,Idiom/Fixed expression
willing and able,Idiom/Fixed expression
willow in the wind,Idiom/Fixed expression
willy nilly,Idiom/Fixed expression
willy-nilly,Idiom/Fixed expression
wimp,Idiom/Fixed expression
tease out,Particle verb
wait about,Particle verb
win a reputation,Idiom/Fixed expression
win acquittal,Idiom/Fixed expression
twisted him around her little finger,Idiom/Fixed expression
what goes around comes around,Idiom/Fixed expression
win back,Particle verb
win big,Idiom/Fixed expression
win brownie points,Idiom/Fixed expression
win by a hair,Idiom/Fixed expression
win by a nose,Idiom/Fixed expression
win by a whisker,Idiom/Fixed expression
win election,Idiom/Fixed expression
win going away,Idiom/Fixed expression
weigh down,Particle verb
win in,Particle verb
crowd in on,Particle verb
win opportunity,Idiom/Fixed expression
tell out,Particle verb
tump over,Particle verb
turn over,Particle verb
